id,name,link,phone,address,type,description,years,dollar,rating,menu_URL,order_online
1,EJ's Luncheonette,https://www.yellowpages.com/new-york-city-ny/mip/ejs-luncheonette-11614397?lid=11614397#gallery,(212) 472-0600,1271 3rd Ave  Close To The 72nd Street Crosstown Bus,RestaurantsAmerican RestaurantsCaterers,From Business: EJ's Luncheonette is a NYC iconic restaurant celebrating its 27th year of business. EJ's is known to both locals and tourists from all [...],34 Years,$$,"{""rating"":""4.0"",""count"":""268""}",https://www.yellowpages.com/new-york-city-ny/mip/ejs-luncheonette-11614397,True
2,Route 66 Cafe,https://www.yellowpages.com/new-york-city-ny/mip/route-66-cafe-5516143?lid=5516143#gallery,(212) 977-7600,858 9th Ave  Between 55th And 56th Streets,RestaurantsAmerican RestaurantsBars,Great American style food but not a low end bbq joint. Good quality and fun ambience for a small privately owned joint. Really good menu with reasonab[...],28 Years,$$,"{""rating"":""4.0"",""count"":""396""}",https://www.yellowpages.com/new-york-city-ny/mip/route-66-cafe-5516143,True
3,The Sea Fire Grill,https://www.yellowpages.com/new-york-city-ny/mip/the-sea-fire-grill-475209586?lid=475209586#gallery,(212) 935-3785,158 E 48th St  Between 3rd And Lexington Avenue,RestaurantsSeafood RestaurantsBars,"My husband and I went to Manhattan, N.Y. to celebrate. One of the nights he made reservations to The Seafire Grill for dinner. Upon entering the resta[...]",12 Years,$$$$,"{""rating"":""4.5"",""count"":""1154""}",https://www.yellowpages.com/new-york-city-ny/mip/the-sea-fire-grill-475209586,False
4,Masa,https://www.yellowpages.com/new-york-city-ny/mip/masa-453967549?lid=453967549#gallery,(212) 823-9807,10 Columbus Circle  Time Warner Center   4th Floor,RestaurantsJapanese RestaurantsFine Dining Restaurants,"Good sushi, good service. The sake is dangerous and may force you to reconsider spending $600 on a Wednesday.""[...]",20 Years,$$$$,"{""rating"":""4.0"",""count"":""297""}",https://www.yellowpages.com/new-york-city-ny/mip/masa-453967549,False
5,Bobo,https://www.yellowpages.com/new-york-city-ny/mip/bobo-15132403?lid=15132403#gallery,(212) 488-2626,181 W 10th St  At Seventh Avenue,RestaurantsContinental RestaurantsBars,"We ordered Duck and Scallopsboth great!dont let the bread fill you up!Drinks are fun... ""the legend"" is a solid choice.""[...]",17 Years,$$$$,"{""rating"":""4.0"",""count"":""207""}",https://www.yellowpages.com/new-york-city-ny/mip/bobo-15132403,True
6,Gayle's Broadway Rose,https://www.yellowpages.com/new-york-city-ny/mip/gayles-broadway-rose-549547782,(347) 933-2673,228 W 47th St  At Friedmans At The Edison Hotel,RestaurantsAmerican RestaurantsTake Out Restaurants,"From Business: Featuring the most talented aspiring New York City Broadway performers as singing servers, waiters, and waitresses. Join us for an amaz[...]",,,"{""rating"":""4.5"",""count"":""76""}",https://www.yellowpages.com/new-york-city-ny/mip/gayles-broadway-rose-549547782,False
7,Farm To Burger,https://www.yellowpages.com/new-york-city-ny/mip/farm-to-burger-548506876?lid=548506876#gallery,(646) 609-5200,310 W 40th St  At The Aliz Hotel,RestaurantsAmerican RestaurantsBars,From Business: At FARMTOBURGER we aim to deliver a more wholesome product to our guests. We've taken great care to source the meat for our burgers fro[...],,,"{""rating"":""4.0"",""count"":""27""}",https://www.yellowpages.com/new-york-city-ny/mip/farm-to-burger-548506876,False
8,Ikinari Steak Times Square,https://www.yellowpages.com/new-york-city-ny/mip/ikinari-steak-times-square-543605176,(917) 409-5940,368 W 46 St  Between 8th And 9th Ave,RestaurantsSteak HousesJapanese Restaurants,From Business: Craving Meat? Just Dig In! Ikinari Steak is a Japan-based steak restaurant chain. The idea behind Ikinari Steak is to serve super thick[...],,$$$,"{""rating"":""4.5"",""count"":""32""}",https://www.yellowpages.com/new-york-city-ny/mip/ikinari-steak-times-square-543605176,False
9,Cafe 45,https://www.yellowpages.com/new-york-city-ny/mip/cafe-45-496590965,(212) 997-4622,2 W 45th St  Between 5th & 6th Ave.,RestaurantsCoffee & Espresso RestaurantsCaterers,"From Business: Perfect place for the budget traveler; buffet eatery, lots of choices, pay by weight. Seating on two floors.Perfect place for the budge[...]",13 Years,$,"{""rating"":""3.5"",""count"":""26""}",https://www.yellowpages.com/new-york-city-ny/mip/cafe-45-496590965,False
10,Stella 34 Trattoria,https://www.yellowpages.com/new-york-city-ny/mip/stella-34-trattoria-475168117?lid=475168117#gallery,(212) 967-9251,151 W 34th St  Macy's Herald Square   6th Floor,RestaurantsItalian RestaurantsPizza,From Business: Italian Restaurant in New York City.Italian Restaurant in New York City.[...],14 Years,$$$,"{""rating"":""4.0"",""count"":""1080""}",https://www.yellowpages.com/new-york-city-ny/mip/stella-34-trattoria-475168117,False
11,Butcher & Banker NYC,https://www.yellowpages.com/new-york-city-ny/mip/butcher-banker-nyc-542203703?lid=542203703#gallery,(212) 268-8455,481 8th Ave  Vault Level,RestaurantsSteak HousesAmerican Restaurants,From Business: Beneath the pulsing city lies a hidden dining destination. Steaks from the finest Black Angus cattle. Bespoke cocktails. A restored Ban[...],,$$$$,"{""rating"":""4.0"",""count"":""146""}",https://www.yellowpages.com/new-york-city-ny/mip/butcher-banker-nyc-542203703,True
12,Oceana Restaurant,https://www.yellowpages.com/new-york-city-ny/mip/oceana-restaurant-481107420?lid=481107420#gallery,(212) 759-5941,120 W 49th Street  Between 6th And 7th Avenue,RestaurantsMediterranean RestaurantsSeafood Restaurants,"From Business: Under the guidance of the Livanos family and Co-Owner Paul McLaughlin, Oceana has provided New Yorkers with an exceptional seafood dest[...]",40 Years,,"{""rating"":""4.5"",""count"":""1208""}",https://www.yellowpages.com/new-york-city-ny/mip/oceana-restaurant-481107420,False
13,Sushi Star,https://www.yellowpages.com/new-york-city-ny/mip/sushi-star-553862901,(212) 279-1010,462 9th Ave  Between 35th & 36th Street,RestaurantsSushi BarsJapanese Restaurants,"From Business: At Sushi Star, we don't compromise. We believe that high quality sushi should be available whether you're on-the-go, dining in, or gett[...]",,,"{""rating"":""4.5"",""count"":""18""}",https://www.yellowpages.com/new-york-city-ny/mip/sushi-star-553862901,False
14,Blue Ribbon Sushi Bar - Rock Center,https://www.yellowpages.com/new-york-city-ny/mip/blue-ribbon-sushi-bar-rock-center-538992158?lid=538992158#gallery,(212) 937-0204,30 Rockefeller Plaza  Concourse Level Space R,RestaurantsSushi BarsTake Out Restaurants,From Business: Sushi Bar offering New York City's finest sushi with options varying from Omakase to sushi by the piece and customizable bento bowls. B[...],10 Years,$$,"{""rating"":""4.0"",""count"":""18""}",https://www.yellowpages.com/new-york-city-ny/mip/blue-ribbon-sushi-bar-rock-center-538992158,False
15,Down The Road Pub,https://www.yellowpages.com/new-york-city-ny/mip/down-the-road-pub-548650030,(917) 472-7799,683 9th Ave  Corner Of 47th Street,RestaurantsAmerican Restaurants,"From Business: Down The Road Sports Bar is a friendly neighborhood bar welcoming everyone in for a good drink, food and to watch all your sports. We c[...]",,,"{""rating"":""4.5"",""count"":""7""}",https://www.yellowpages.com/new-york-city-ny/mip/down-the-road-pub-548650030,False
16,FIELDTRIP Rockefeller Center,https://www.yellowpages.com/new-york-city-ny/mip/fieldtrip-rockefeller-center-566482966,(646) 669-8595,30 Rockefeller Plaza  Concourse Level,RestaurantsAmerican RestaurantsHealth Food Restaurants,"From Business: FIELDTRIP is a black-owned restaurant in Rockefeller Center, New York City, NY. We offer a sustainable menu of international flavors th[...]",,,"{""rating"":""5.0"",""count"":""1""}",https://www.yellowpages.com/new-york-city-ny/mip/fieldtrip-rockefeller-center-566482966,False
17,Morgan Cafe,https://www.yellowpages.com/new-york-city-ny/mip/morgan-cafe-524920229,(212) 683-2130,225 Madison Ave  The Morgan Library & Museum,RestaurantsAmerican Restaurants,From Business: The Morgan Dining Room's menu draws inspiration from early-twentieth-century New York City cuisine. Guests dine in the original Morgan [...],,,"{""rating"":""4.0"",""count"":""94""}",https://www.yellowpages.com/new-york-city-ny/mip/morgan-cafe-524920229,False
18,T.G.I. Friday's,https://www.yellowpages.com/new-york-city-ny/mip/t-g-i-fridays-483745866?lid=483745866#gallery,(212) 630-0307,484 8th Ave  34th St,RestaurantsAmerican RestaurantsTake Out Restaurants,"From Business: T.G.I. Friday s, founded in 1965, is a chain of full-service restaurants with worldwide locations that offers a variety of specialty fo[...]",,,"{""rating"":""2.5"",""count"":""397""}",https://www.yellowpages.com/new-york-city-ny/mip/t-g-i-fridays-483745866,False
19,Black Iron Burger,https://www.yellowpages.com/new-york-city-ny/mip/black-iron-burger-551055165?lid=551055165#gallery,(646) 747-0814,230 Park Ave  Corner 45th St & Vanderbilt Ave,RestaurantsAmerican RestaurantsBars,"From Business: At Black Iron Burger, nobody beats our meat. Crafted in-house with amazing flavors, our commitment is to always use the highest quality[...]",,$,"{""rating"":""5.0"",""count"":""2""}",https://www.yellowpages.com/new-york-city-ny/mip/black-iron-burger-551055165,False
20,Hell's Kitchen,https://www.yellowpages.com/new-york-city-ny/mip/hells-kitchen-2976437?lid=2976437#gallery,(212) 977-1588,754 9th Ave  At 51st Street,RestaurantsAmerican RestaurantsNight Clubs,"From Business: A staple in its' namesake neighborhood for 17 years, Hell's Kitchen is a favorite 'go to' spot for pre & post theatre, meeting up with [...]",,,"{""rating"":""4.5"",""count"":""391""}",https://www.yellowpages.com/new-york-city-ny/mip/hells-kitchen-2976437,False
21,Turkuaz Fine Turkish Cuisine,https://www.yellowpages.com/new-york-city-ny/mip/turkuaz-fine-turkish-cuisine-546886683?lid=546886683#gallery,(212) 265-5500,310 W 53rd St  Between 8th And 9th Avenues,RestaurantsMediterranean RestaurantsBars,From Business: Turkuaz takes its name from the turquoise colored sea in Turkey and Mediterranean and brings both a culinary experience and an ethnic o[...],,$$,"{""rating"":""4.0"",""count"":""111""}",https://www.yellowpages.com/new-york-city-ny/mip/turkuaz-fine-turkish-cuisine-546886683,True
22,Estiatorio Milos,https://www.yellowpages.com/new-york-city-ny/mip/estiatorio-milos-549184556,(646) 907-1970,20 Hudson Yards  Hudson Yards   5th Floor,RestaurantsSeafood RestaurantsGreek Restaurants,From Business: Estiatorio Milos offers its guests a stunning new location in New York City. The Greek restaurant offers unparalleled views of the Huds[...],,$$,"{""rating"":""4.5"",""count"":""98""}",https://www.yellowpages.com/new-york-city-ny/mip/estiatorio-milos-549184556,False
23,Osamil,https://www.yellowpages.com/new-york-city-ny/mip/osamil-530575360?lid=530575360#gallery,(212) 300-4713,5 W 31st St  1fl. Bet 5th Ave - Broadway,RestaurantsKorean RestaurantsAsian Restaurants,"From Business: Our name derives from the Korean translation of our address, 5 west 31st street. 5- Oh, 3- Sam, 1-il. The space consists of a large ope[...]",,$$,"{""rating"":""4.5"",""count"":""73""}",https://www.yellowpages.com/new-york-city-ny/mip/osamil-530575360,False
24,Spoon Table and Bar,https://www.yellowpages.com/new-york-city-ny/mip/spoon-table-and-bar-532025057,(646) 230-7000,40 E 33rd St  Between Madison And Park Ave,RestaurantsAmerican RestaurantsCaterers,"From Business: Spoon Table & Bar is located in the Murray Hill area. We are a full-service restaurant and bar with an upscale take on comfort food, co[...]",,,"{""rating"":""4.0"",""count"":""77""}",https://www.yellowpages.com/new-york-city-ny/mip/spoon-table-and-bar-532025057,False
25,Puff Cha Cafe,https://www.yellowpages.com/new-york-city-ny/mip/puff-cha-cafe-495351645,(646) 682-7768,457 50 St  Bet 9ave & 10 Ave,RestaurantsThai RestaurantsJapanese Restaurants,"From Business: Puff Cha Ramen brings something new to NYC with homemade curry puffs, the first in the USA! Combined with 20+ kinds of noodles, what's [...]",,$$,"{""rating"":""4.5"",""count"":""31""}",https://www.yellowpages.com/new-york-city-ny/mip/puff-cha-cafe-495351645,False
26,North River Lobster Company,https://www.yellowpages.com/new-york-city-ny/mip/north-river-lobster-company-509925830?lid=509925830#gallery,(212) 630-8831,Pier 81 West 41st Street And 12th Avenue,RestaurantsSeafood RestaurantsBars,"From Business: North River Lobster Company is New York City’s only floating lobster shack, a New York institution since 2014. Located at Pier 81 on We[...]",,$$,"{""rating"":""4.0"",""count"":""20""}",https://www.yellowpages.com/new-york-city-ny/mip/north-river-lobster-company-509925830,False
27,Seville Car & Limousine Service Corp,https://www.yellowpages.com/new-york-city-ny/mip/seville-car-limousine-service-corp-467513949,(212) 447-7284,22 E 29th St  Located Beneath Scarpetta Restaurant,RestaurantsAmerican RestaurantsItalian Restaurants,"From Business: The Seville is featuring a special pop-up, offering Scarpetta dinner for reservations only in a socially distanced space. Live music an[...]",,,"{""rating"":""4.5"",""count"":""8""}",https://www.yellowpages.com/new-york-city-ny/mip/seville-car-limousine-service-corp-467513949,False
28,Angeletto Restaurant,https://www.yellowpages.com/new-york-city-ny/mip/angeletto-restaurant-545589003?lid=545589003#gallery,(212) 235-1227,890 2nd Ave  47 Street,RestaurantsContinental RestaurantsItalian Restaurants,"From Business: Vintage Northern Italian Restaurant, featuring homemade fresh pasta, traditional Roman dishes expertly prepared using the finest ingred[...]",,,"{""rating"":""4.5"",""count"":""57""}",https://www.yellowpages.com/new-york-city-ny/mip/angeletto-restaurant-545589003,False
29,Il Piccolo Ristoro,https://www.yellowpages.com/new-york-city-ny/mip/il-piccolo-ristoro-547681306,(212) 564-3337,508 W 28th St  High Line Nine   West Chelsea,RestaurantsItalian Restaurants,"From Business: Piccolo means tiny place in Italian and Ristoro means to restore. So, a tiny place to restore yourself at any hour of the day it what w[...]",,$,"{""rating"":""4.5"",""count"":""7""}",https://www.yellowpages.com/new-york-city-ny/mip/il-piccolo-ristoro-547681306,True
30,Amata,https://www.yellowpages.com/new-york-city-ny/mip/amata-505143105,(212) 308-0830,209 E 56th St  Bet. 2nd & 3rd Aves,RestaurantsItalian Restaurants,From Business: AMATA is a vibrant yet cozy Italian restaurant serving delicious traditional Italian fare with a modern flair. Located in East Midtown [...],,$$$,"{""rating"":""4.5"",""count"":""58""}",https://www.yellowpages.com/new-york-city-ny/mip/amata-505143105,False
31,Grand Banks,https://www.yellowpages.com/new-york-city-ny/mip/grand-banks-565756240,(212) 660-6312,Pier 25  Hudson River Park,RestaurantsAmerican RestaurantsSeafood Restaurants,"From Business: Grand Banks is a celebrated oyster bar aboard the historic wooden schooner, Sherman Zwicker. Inspired by the floating oyster barges tha[...]",,,"{""rating"":""4.0"",""count"":""179""}",https://www.yellowpages.com/new-york-city-ny/mip/grand-banks-565756240,False
32,Inside Park at St. Bart's,https://www.yellowpages.com/new-york-city-ny/mip/inside-park-at-st-barts-480288565?lid=480288565#gallery,(212) 593-3333,109 East 50th St On Park Avenue,RestaurantsAmerican Restaurants,"From Business: Caf St. Bart s offers a wide range of dining services. It has various facilities, such as the Great Hall, outdoor restaurants and priva[...]",,$$$,"{""rating"":""4.0"",""count"":""237""}",https://www.yellowpages.com/new-york-city-ny/mip/inside-park-at-st-barts-480288565,False
33,Patsy's Pizzeria,https://www.yellowpages.com/new-york-city-ny/mip/patsys-pizzeria-545155818,(212) 688-9707,206 E 60th St  2nd & 3rd Ave,RestaurantsItalian RestaurantsPizza,"From Business: In the early 1900's, working in the Salumerias of Little Italy, Pasquale ""Patsy"" Lancieri perfected New York Style Pizza. In 1933, he o[...]",,,"{""rating"":""4.0"",""count"":""240""}",https://www.yellowpages.com/new-york-city-ny/mip/patsys-pizzeria-545155818,False
